date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,temperature_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,relative_humidity_2m,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm10_lag1,pm10_lag2,pm10_lag3,PM25_roll7,PM25_roll30,PM10_roll7,month,day_of_week,is_weekend,day_of_year,season,pm2_5_change,pm10_change
2025-01-04,69.32916666666667,51.67916666666667,776.3333333333334,36.06666666666667,24.8125,-1.3471650105235344,-0.9144771768200802,0.8495517851535522,-0.23212479117898757,1.2084064863797783,-0.17890919823372994,-0.744676138971298,-0.48228813118022434,66.60833333333333,51.337500000000006,37.52916666666667,72.95833333333333,55.400000000000006,40.68333333333333,51.78854166666667,51.78854166666667,59.592708333333334,1,5,1,4,1,-14.929166666666667,-3.629166666666663
2025-01-05,55.06666666666667,40.22083333333333,908.6666666666666,39.32083333333333,26.183333333333334,-1.9911755793026842,-1.409201361324899,0.9647554045152946,-1.1322643174914078,-0.29795412172643726,-0.17890919823372994,-0.9390790790561765,-0.9550722845765306,51.67916666666667,66.60833333333333,51.337500000000006,69.32916666666667,72.95833333333333,55.400000000000006,49.475,49.475,58.6875,1,6,1,5,1,-11.458333333333336,-14.262499999999996
2025-01-06,35.25833333333333,31.079166666666666,1103.7083333333333,41.30833333333333,21.633333333333333,-1.8875785226334016,-1.8472611017895184,1.331027781290407,-1.1347857167247761,-1.7084344150528863,-0.17890919823372994,-0.9390790790561765,-1.4869544571473752,40.22083333333333,51.67916666666667,66.60833333333333,55.06666666666667,69.32916666666667,72.95833333333333,46.40902777777777,46.40902777777777,54.78263888888889,1,0,0,6,1,-9.141666666666666,-19.808333333333337
2025-01-07,22.954166666666666,21.924999999999997,958.9166666666666,31.350000000000005,15.595833333333335,-1.79786560757959,-2.58989222897021,1.4931893976745996,-0.8120466148536564,-1.9065485594472238,-0.17890919823372994,-0.9390790790561765,-2.2798528810724306,31.079166666666666,40.22083333333333,51.67916666666667,35.25833333333333,55.06666666666667,69.32916666666667,42.91130952380952,42.91130952380952,50.23571428571428,1,1,0,7,1,-9.154166666666669,-12.304166666666667
2025-01-08,28.0875,27.829166666666666,1175.4166666666667,37.4375,30.141666666666666,-2.07448042899551,-2.007447126287775,1.048653692528731,-1.3011980661270726,-0.9483230039072653,-0.17890919823372994,-0.9390790790561765,-1.5485148937875195,21.924999999999997,31.079166666666666,40.22083333333333,22.954166666666666,35.25833333333333,55.06666666666667,41.52559523809524,41.026041666666664,48.43630952380953,1,2,0,8,1,5.904166666666669,5.133333333333333
2025-01-09,34.52916666666667,33.829166666666666,1418.375,44.02916666666667,24.170833333333334,-1.851266152254478,-1.3329223020400154,0.7756712031715797,-1.2911124691935998,-1.209972296649641,-0.17890919823372994,-0.9390790790561765,-0.6792815284286854,27.829166666666666,21.924999999999997,31.079166666666666,28.0875,22.954166666666666,35.25833333333333,39.02440476190476,40.22638888888889,45.4547619047619,1,3,0,9,1,6.0,6.44166666666667
2025-01-10,46.358333333333334,45.6875,1071.2083333333333,53.05833333333333,24.416666666666668,-1.521250786163669,-1.5819189455628149,0.9259367936434206,-1.0276262493066308,-1.6229507609118894,-0.17890919823372994,-0.5833089926263334,-1.4426309427664714,33.829166666666666,27.829166666666666,21.924999999999997,34.52916666666667,28.0875,22.954166666666666,36.035714285714285,40.7725,41.654761904761905,1,4,0,10,1,11.858333333333334,11.829166666666666
2025-01-11,45.47083333333333,45.12916666666667,1102.5,41.833333333333336,28.900000000000002,-1.5020265900807095,-1.449520292661195,1.071193531099504,-1.3100229634438607,-0.972004286473352,-0.17890919823372994,-0.9390790790561765,-1.1766898564810493,45.6875,33.829166666666666,27.829166666666666,46.358333333333334,34.52916666666667,28.0875,35.1,41.16856060606061,38.246428571428574,1,5,1,11,1,-0.55833333333333,-0.8875000000000028
2025-01-12,41.75416666666667,41.62083333333333,1100.9583333333333,35.40833333333333,22.983333333333334,-1.5137747099091852,-1.858702960682251,1.3867512710903733,-0.5359533987998462,-2.1629995218702147,-0.17890919823372994,-0.9339966492500359,-1.676560601999019,45.12916666666667,45.6875,33.829166666666666,45.47083333333333,46.358333333333334,34.52916666666667,35.3,41.206250000000004,36.34464285714286,1,6,1,12,1,-3.50833333333334,-3.7166666666666615
2025-01-13,53.9375,53.12083333333333,893.7083333333334,13.7,16.433333333333334,-1.8224298581300382,-1.5911814027616935,1.4719017723577579,0.7398746132844255,-2.150870084458316,-0.17890919823372994,-0.8653838468671375,-1.2776489725708855,41.62083333333333,45.12916666666667,45.6875,41.75416666666667,45.47083333333333,46.358333333333334,38.44880952380952,42.12275641025641,39.01309523809524,1,0,0,13,1,11.5,12.18333333333333
2025-01-14,57.770833333333336,55.854166666666664,951.75,30.587500000000002,19.358333333333334,-1.9196188494383344,-1.1901714910925894,1.299722449942101,-0.6998443489687747,-1.2492485701738827,-0.17890919823372994,-0.9378084716046413,-0.6275707616509644,53.12083333333333,41.62083333333333,45.12916666666667,53.9375,41.75416666666667,45.47083333333333,43.295833333333334,43.103571428571435,43.98690476190477,1,1,0,14,1,2.7333333333333343,3.8333333333333357
