carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,temperature_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,relative_humidity_2m,aqicn_AQI_high_missing,aqicn_PM2.5_high_missing,aqicn_PM10_high_missing,aqicn_NO2_high_missing,aqicn_CO_high_missing,aqicn_SO2_high_missing,aqicn_O3_high_missing,PM25_lag1,PM10_lag1,AQI_lag1,PM25_lag2,PM10_lag2,AQI_lag2,PM25_lag3,PM10_lag3,AQI_lag3,AQI_roll7,AQI_roll30,PM25_roll7,PM10_roll7,month,day_of_week,is_weekend,day_of_year,season,AQI_change,PM25_change,PM10_change
-0.22765936783381843,-0.008288279942103063,-0.21082986150469069,-0.032384207589285854,0.01542606966836121,-0.05388517243521562,0.058452945436750677,0.0077109098434452305,0.015691516739980926,-0.003585788181849736,-0.005386125700814505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2180189323425297,0.0646147775650017,0.0,0.0025725930077685278,0.06996009554181779,0.0,-0.06997212478092736,0.03018253394535567,0.0,0.0,0.0,0.0197416979925976,0.02458227906908331,-0.001988773345947032,0.004143780980791537,0.0,-0.004610373633249105,-0.01781672613961303,0.0,0.35821647916521343,-0.032570648193358816
-0.4435654497146602,-0.007934554644992582,-0.6795591122763499,-0.05908623150416784,0.020131803240094875,-0.08725819860185904,0.047780175890242305,-0.03122045516967756,0.014350082533700308,-0.0007474381583086094,0.00012600762503492798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.577573872293745,-0.08357880524226655,0.0,0.011548207146779938,0.07321104935237445,0.0,0.00758678368159644,0.029526677812848994,0.0,0.0,0.0,0.06306705066135875,0.025002363068717313,-0.0015955352783197136,0.009810403415135584,0.0,-0.010359039306640077,-0.017876984732491965,0.0,-5.845040271622794,0.03461320332118462
-0.242200300352914,-0.005153844697134805,-0.5519072444098337,0.004722485542297404,0.017045095988682694,-0.0942847640173774,0.02511753150395002,0.04971009050096775,0.01889255183083652,2.1933146886001153e-05,0.0014553390230453037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059886556352887865,-0.17398400579180087,0.0,-0.012512770380293097,-0.009304226466587653,0.0,-0.012509999275206494,0.020785055841718605,0.0,0.0,0.0,0.07478175708225798,0.009192258289881699,-0.002737459455217512,-0.04187975611005511,0.0,-0.010171223367964341,-0.01787682941981699,0.0,-2.2366126905168797,0.08358430794307203
-0.32615411281585693,-0.011319524901252669,-0.03786704404013541,-0.07351589066641624,0.3431539154052735,-0.06140776906694561,0.03824397972651867,0.0049784387860984936,0.02878588812691823,0.00027356011526943495,0.008339206831795565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3616347885131845,0.05180169309888554,0.0,-0.04488557338714751,-0.04102633135659391,0.0,-0.013123262950351997,-0.0014777592250277496,0.0,0.0,0.0,0.03350944587162579,0.02512785911560072,-0.0059213256835943485,-0.01787453242710565,0.0,-0.010626400538852363,-0.007825050354004557,0.0,6.365626760891506,0.4091895171574192
-0.43747970785413565,-0.0031686183384481226,0.33999806880951006,-0.039795073100498665,-0.050395338875907365,0.05383442470005585,0.108924008778164,-0.05299986975533625,0.016921175548008347,-0.0014020197732109402,-0.025428007670812085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.555691174098423,0.36007252216339125,0.0,-0.05789272103990812,-0.04815769468035036,0.0,-0.00900851794651482,0.016190990039281466,0.0,0.0,0.0,0.006899931090217645,0.022480051858085152,-0.0030173138209751266,-0.003888322285243717,0.0,-0.006161300795418561,-0.017786637714930973,0.0,-5.233570047787258,-0.39646050180707654
-0.22301391737801676,-0.0103994594301494,0.06782467569623611,-0.045588432039534714,-0.05210973875863191,0.06709863526480626,0.03554673739842024,-0.05226613998413069,0.024261326789855073,-0.0035449014391204514,-0.02685508864266544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3111387314115257,-0.060528668676103896,0.0,-0.030882758413042666,0.005826734134129501,0.0,-0.01471841130937866,0.037651894433158466,0.0,0.0,0.0,0.029584207534790456,0.013827409744263061,-0.0019131769452775313,0.00164760998317069,0.0,-0.005677333559308805,-0.0077046476091654015,0.0,2.359993204389301,0.22483137266976425
0.5236409841265,-0.004858179092406901,-0.27974591800144644,-0.057385589735847224,-0.0417557913916455,0.03195923873356473,-0.01842599255698017,-0.021142892837523877,0.014982425144739813,-0.0037441553388318943,-0.02742469719478104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6258639567238955,0.14158394064221927,0.0,0.011221057346889956,0.04866481849125316,0.0,0.12560724530901166,-0.09235461507524866,0.0,0.0,0.0,0.03150845732007771,0.010814478056770938,-0.0019509778703957284,-0.0028474834987099384,0.0,0.0024562100001741527,-0.01778728757585744,0.0,-1.4599687337875367,0.010850568498884121
-0.44297519683837855,-0.003926845278059484,0.008529778208052261,-0.028730931963239264,-0.042270540509904767,-0.07527749129704096,-0.01007857935769201,-0.02805620329720528,0.014312208039419667,-0.0035234485353746897,-0.01544115815843813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326234655380249,0.2494069814682009,0.0,0.04760019234248552,0.02744553838457442,0.0,-0.006409050396510756,0.03126737254006505,0.0,0.0,0.0,0.01822366918836365,0.022571267400468997,-0.007507563999720952,0.004132807595388651,0.0,-0.0038906363078522943,-0.017816741807120704,0.0,-5.675203522273473,-0.6569459329332622
-0.3139623812266767,-0.00846338885171021,-0.4722426101139615,-0.058449616432190155,-0.042497129440307244,-0.02070669787270672,0.07273812975202278,-0.02566744055066802,0.014791383743286193,-0.003674801417759253,-0.023540675299507794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896451548167645,-0.17907403332846553,0.0,-0.015789969308035574,0.022585195813860284,0.0,-0.03208694253649063,0.018188336236136138,0.0,0.0,0.0,0.07178039346422439,0.016153973851885186,-0.0027374621800012123,0.022946564129420772,0.0,-0.006911598614283777,-0.017786502838134766,0.0,-5.218668400900705,0.01679456710815508
-0.35389885153089246,-0.029431475230625028,-0.4761925622395114,-0.07530696732657281,-0.03938079152788353,0.06421868051801408,0.02883771760123136,-0.018643828119550423,0.022757468223571768,0.0003240462711883956,-0.013690017291477627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9802298675264636,-0.25081196308136,0.0,-0.03544263294764909,-0.02304965768541578,0.0,-0.003320671490260401,-0.0265615735735208,0.0,0.0,0.0,0.07293828351157064,0.0018949910572589243,-0.004665870666503226,-0.02094260692596452,0.0,-0.011074409484863474,-0.007824903215680681,0.0,0.3567607498168943,0.20683882849557023
