Target,Horizon,MAE,RMSE,R2
pm2_5,1,1.2064580947207355,1.7231748469660537,0.953009287674595
pm2_5,2,5.670222430153498,7.080193748600915,0.21013384563267568
pm2_5,3,7.011084371987556,8.962512269417116,-0.24803912283772234
pm10,1,3.5998098836072,5.180478969572033,0.9544566073178139
pm10,2,20.4163996239314,25.384273652745772,-0.07899594949044642
pm10,3,23.525594619161264,29.923048277426748,-0.4871334816544195
aqicn_AQI,1,8.131523096505466,34.25841242442508,-0.05970037223576474
aqicn_AQI,2,8.247686622256325,34.5022476184578,-0.06060493934814115
aqicn_AQI,3,8.3672172067246,34.75136455474756,-0.061537339294746696
